,filename,var,temporalRes,modelFull,model,scenario,spatialRes
0,tas_ann_ACCESS-CM2_historical_r1i1p1f1_g025.nc,tas,ann,ACCESS-CM2,ACC,historical,g025
1,tas_ann_ACCESS-CM2_piControl_r1i1p1f1_g025.nc,tas,ann,ACCESS-CM2,ACC,piControl,g025
2,tas_ann_ACCESS-ESM1-5_historical_r1i1p1f1_g025.nc,tas,ann,ACCESS-ESM1-5,ACC,historical,g025
3,tas_ann_ACCESS-ESM1-5_piControl_r1i1p1f1_g025.nc,tas,ann,ACCESS-ESM1-5,ACC,piControl,g025
4,tas_ann_AWI-CM-1-1-MR_historical_r1i1p1f1_g025.nc,tas,ann,AWI-CM-1-1-MR,AWI,historical,g025
5,tas_ann_AWI-CM-1-1-MR_piControl_r1i1p1f1_g025.nc,tas,ann,AWI-CM-1-1-MR,AWI,piControl,g025
6,tas_ann_AWI-ESM-1-1-LR_historical_r1i1p1f1_g025.nc,tas,ann,AWI-ESM-1-1-LR,AWI,historical,g025
7,tas_ann_BCC-CSM2-MR_historical_r1i1p1f1_g025.nc,tas,ann,BCC-CSM2-MR,BCC,historical,g025
8,tas_ann_BCC-CSM2-MR_piControl_r1i1p1f1_g025.nc,tas,ann,BCC-CSM2-MR,BCC,piControl,g025
9,tas_ann_BCC-ESM1_historical_r1i1p1f1_g025.nc,tas,ann,BCC-ESM1,BCC,historical,g025
10,tas_ann_BCC-ESM1_piControl_r1i1p1f1_g025.nc,tas,ann,BCC-ESM1,BCC,piControl,g025
11,tas_ann_CAMS-CSM1-0_historical_r1i1p1f1_g025.nc,tas,ann,CAMS-CSM1-0,CAM,historical,g025
12,tas_ann_CAMS-CSM1-0_piControl_r1i1p1f1_g025.nc,tas,ann,CAMS-CSM1-0,CAM,piControl,g025
13,tas_ann_CAS-ESM2-0_historical_r1i1p1f1_g025.nc,tas,ann,CAS-ESM2-0,CAS,historical,g025
14,tas_ann_CAS-ESM2-0_piControl_r1i1p1f1_g025.nc,tas,ann,CAS-ESM2-0,CAS,piControl,g025
15,tas_ann_CESM2-FV2_historical_r1i1p1f1_g025.nc,tas,ann,CESM2-FV2,CES,historical,g025
16,tas_ann_CESM2-FV2_piControl_r1i1p1f1_g025.nc,tas,ann,CESM2-FV2,CES,piControl,g025
17,tas_ann_CESM2-WACCM-FV2_historical_r1i1p1f1_g025.nc,tas,ann,CESM2-WACCM-FV2,CES,historical,g025
18,tas_ann_CESM2-WACCM-FV2_piControl_r1i1p1f1_g025.nc,tas,ann,CESM2-WACCM-FV2,CES,piControl,g025
19,tas_ann_CESM2-WACCM_historical_r1i1p1f1_g025.nc,tas,ann,CESM2-WACCM,CES,historical,g025
20,tas_ann_CESM2-WACCM_piControl_r1i1p1f1_g025.nc,tas,ann,CESM2-WACCM,CES,piControl,g025
21,tas_ann_CESM2_historical_r1i1p1f1_g025.nc,tas,ann,CESM2,CES,historical,g025
22,tas_ann_CESM2_piControl_r1i1p1f1_g025.nc,tas,ann,CESM2,CES,piControl,g025
23,tas_ann_CIESM_historical_r1i1p1f1_g025.nc,tas,ann,CIESM,CIE,historical,g025
24,tas_ann_CIESM_piControl_r1i1p1f1_g025.nc,tas,ann,CIESM,CIE,piControl,g025
25,tas_ann_CMCC-CM2-HR4_historical_r1i1p1f1_g025.nc,tas,ann,CMCC-CM2-HR4,CMC,historical,g025
26,tas_ann_CMCC-CM2-SR5_historical_r1i1p1f1_g025.nc,tas,ann,CMCC-CM2-SR5,CMC,historical,g025
27,tas_ann_CMCC-CM2-SR5_piControl_r1i1p1f1_g025.nc,tas,ann,CMCC-CM2-SR5,CMC,piControl,g025
28,tas_ann_CMCC-ESM2_historical_r1i1p1f1_g025.nc,tas,ann,CMCC-ESM2,CMC,historical,g025
29,tas_ann_CMCC-ESM2_piControl_r1i1p1f1_g025.nc,tas,ann,CMCC-ESM2,CMC,piControl,g025
30,tas_ann_CanESM5-1_historical_r1i1p1f1_g025.nc,tas,ann,CanESM5-1,Can,historical,g025
31,tas_ann_CanESM5-1_piControl_r1i1p1f1_g025.nc,tas,ann,CanESM5-1,Can,piControl,g025
32,tas_ann_CanESM5_historical_r1i1p1f1_g025.nc,tas,ann,CanESM5,Can,historical,g025
33,tas_ann_CanESM5_piControl_r1i1p1f1_g025.nc,tas,ann,CanESM5,Can,piControl,g025
34,tas_ann_E3SM-1-0_historical_r1i1p1f1_g025.nc,tas,ann,E3SM-1-0,E3S,historical,g025
35,tas_ann_E3SM-1-0_piControl_r1i1p1f1_g025.nc,tas,ann,E3SM-1-0,E3S,piControl,g025
36,tas_ann_E3SM-1-1-ECA_historical_r1i1p1f1_g025.nc,tas,ann,E3SM-1-1-ECA,E3S,historical,g025
37,tas_ann_E3SM-1-1-ECA_piControl_r1i1p1f1_g025.nc,tas,ann,E3SM-1-1-ECA,E3S,piControl,g025
38,tas_ann_E3SM-1-1_historical_r1i1p1f1_g025.nc,tas,ann,E3SM-1-1,E3S,historical,g025
